iter	Logloss
0	0.6891655921
1	0.6841656062
2	0.6803735328
3	0.6758368966
4	0.6722475979
5	0.6680500893
6	0.66308405
7	0.6592160826
8	0.6543541413
9	0.6504836273
10	0.6466139826
11	0.642906305
12	0.6389596765
13	0.635356075
14	0.6319008846
15	0.6278381516
16	0.6242504459
17	0.620939182
18	0.6166165994
19	0.6129757916
20	0.6088978631
21	0.6048732708
22	0.6006196675
23	0.5973406665
24	0.5936508099
25	0.5897597216
26	0.5859071624
27	0.5829908437
28	0.5792782485
29	0.5754997346
30	0.5719736611
31	0.5691461901
32	0.56531443
33	0.5616945916
34	0.5589259718
35	0.5559153772
36	0.5524091675
37	0.5490334046
38	0.5457110823
39	0.5426064448
40	0.5395633293
41	0.536196927
42	0.5327770804
43	0.5293753888
44	0.5260331491
45	0.523018438
46	0.5201380956
47	0.5171449168
48	0.5143767669
49	0.5109249143
50	0.5081932353
51	0.5053055437
52	0.5024806081
53	0.50010944
54	0.4977835046
55	0.4947553839
56	0.4921110276
57	0.4895753143
58	0.4873450173
59	0.4847273093
60	0.481770317
61	0.4791903591
62	0.4767903495
63	0.4745590233
64	0.4718786301
65	0.4691196837
66	0.4669514652
67	0.4643541236
68	0.4621318531
69	0.4602433331
70	0.4579481992
71	0.4558659571
72	0.4538904831
73	0.4516267558
74	0.4491208299
75	0.4468218355
76	0.4447063198
77	0.4418713659
78	0.4398249707
79	0.4379709949
80	0.4361943133
81	0.434255747
82	0.4319703772
83	0.4302661546
84	0.4278444519
85	0.4258671947
86	0.4239212921
87	0.4217937972
88	0.4197180735
89	0.4181125258
90	0.4159591367
91	0.4140166845
92	0.4115323766
93	0.4092173843
94	0.4078797525
95	0.4059040829
96	0.4037800683
97	0.4019244741
98	0.4004021472
99	0.3988026413
100	0.3967041263
101	0.3945678859
102	0.3929406026
103	0.390891468
104	0.3887061
105	0.3868049091
106	0.3843512136
107	0.3830335185
108	0.3810418437
109	0.3794717109
110	0.3776245683
111	0.3757277679
112	0.3740351743
113	0.3718198825
114	0.3706767011
115	0.3690588377
116	0.3675935244
117	0.365914454
118	0.3642487484
119	0.3630654085
120	0.3614623949
121	0.3596305107
122	0.3582814104
123	0.3568848514
124	0.3551175259
125	0.3532816944
126	0.3518044623
127	0.3504253673
128	0.3492718871
129	0.3474839927
130	0.3462433152
131	0.3445072841
132	0.3428347261
133	0.3410646432
134	0.3394097884
135	0.3380556533
136	0.336553465
137	0.3349419764
138	0.3336891489
139	0.3320174632
140	0.330443961
